case set,n disc/val,L*,layer rescue (val) [CI],selected expert,active disc/val,expert rescue [CI],Spec [CI],coalition top-k,routing union,joint-search winner (val rescue / Spec),pattern
strict,128/128,L13,"+1.422 [+1.086, +1.770]",L13E056,100/102,"+0.937 [+0.671, +1.218]","+0.874 [+0.602, +1.152]","+1.414 [+1.079, +1.757]","+1.416 [+1.084, +1.759]",L13E056 +0.937 / Spec +0.874,A
relaxed,256/256,L12,"+1.291 [+1.128, +1.465]",L12E040,199/201,"+0.687 [+0.562, +0.822]","+0.619 [+0.478, +0.766]","+1.239 [+1.080, +1.412]","+1.270 [+1.109, +1.446]",L13E056 +1.055 / Spec +1.000 (differs),A
