Model,Expert,Disc. active (ours),Disc. (paper),Val. active (ours),Val. (paper),Val. not-active rows,Val. exact-zero selected rows,Val. exact-zero selected+control rows,Zero (paper)
Qwen3-30B-A3B-Base,L44E069,114/128,112/128,116/128,116/128,12,35,200,26
Mixtral-8x7B-v0.1,L19E002,76/128,91/128,84/128,83/128,44,51,82,54
