Patched component,L* (disc.),Disc. mean at L*,Val. rescue at L* [95% CI],Val. pos. frac.,Val. argmax,Val. max [95% CI],AUC+ (val.) [CI],Centre of mass (val.)
attention output,L13,+3.310,"+2.713 [+1.596, +3.959]",94%,L12,"+2.942 [+1.816, +4.176]","11.37 [8.37, 14.79]",11.7
MoE output,L12,+2.020,"+1.223 [+0.677, +1.824]",94%,L13,"+1.434 [+0.815, +2.084]","3.94 [2.97, 5.44]",11.1
attention + MoE (block),L12,+4.331,"+3.955 [+2.687, +5.320]",100%,L12,"+3.955 [+2.687, +5.320]","13.07 [9.53, 17.28]",11.7
residual after layer (hidden state),L14,+7.879,"+6.509 [+4.476, +8.691]",100%,L14,"+6.509 [+4.476, +8.691]","31.46 [22.56, 41.10]",12.5
