Set,rank,pair,disc active,disc all-case mean,val active,val rescue,val Spec,two-stage
R3,4,L2E077,95/128,+0.074,95/128,"-0.005 [-0.058, +0.051]","-0.005 [-0.051, +0.042]",
R3,5,L0E096,72/128,+0.071,78/128,"+0.022 [-0.017, +0.061]","-0.003 [-0.052, +0.044]",
R3,6,L1E042,99/128,+0.055,96/128,"-0.007 [-0.070, +0.051]","-0.019 [-0.069, +0.031]",
R3,7,L0E068,66/128,+0.053,71/128,"-0.004 [-0.044, +0.034]","-0.025 [-0.076, +0.023]",
R3,8,L1E106,91/128,+0.051,88/128,"-0.007 [-0.053, +0.043]","-0.010 [-0.059, +0.038]",
R3,9,L20E089,86/128,+0.046,87/128,"-0.032 [-0.076, +0.010]","-0.002 [-0.039, +0.036]",
R3,10,L0E113,83/128,+0.042,90/128,"+0.010 [-0.038, +0.062]","-0.003 [-0.057, +0.052]",
all,1,L4E036,70/128,+0.089,64/128,"+0.034 [+0.001, +0.071]","-0.007 [-0.044, +0.032]",
all,2,L41E023,109/128,+0.073,114/128,"+0.027 [-0.016, +0.073]","+0.001 [-0.046, +0.050]",
all,3,L15E031,89/128,+0.051,96/128,"+0.011 [-0.028, +0.053]","-0.002 [-0.039, +0.033]",
all,4,L44E091,99/128,+0.042,100/128,"+0.001 [-0.026, +0.027]","-0.005 [-0.045, +0.032]",
all,5,L37E046,66/128,+0.019,69/128,"-0.016 [-0.042, +0.007]","-0.057 [-0.099, -0.019]",
all,6,L45E014,106/128,+0.015,108/128,"+0.084 [+0.030, +0.144]","+0.072 [+0.015, +0.133]",
all,7,L29E023,92/128,+0.011,99/128,"+0.018 [-0.018, +0.055]","+0.004 [-0.035, +0.043]",
all,8,L43E086,84/128,+0.011,96/128,"+0.000 [-0.026, +0.026]","-0.001 [-0.038, +0.037]",
all,9,L14E005,75/128,+0.009,69/128,"-0.026 [-0.060, +0.008]","-0.031 [-0.069, +0.009]",
all,10,L37E022,67/128,+0.008,69/128,"+0.003 [-0.023, +0.029]","-0.047 [-0.092, -0.005]",
