layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.038818359375,0.0537109375,-0.0166015625,0.12841796875,0.03125,-0.0341796875,0.10034790039062491,4,89,64,96.0,72.0,0.0712890625,78.0,0.02197265625,-0.016845703125,0.060546875,0.2769,-0.003499348958333327,-0.052410888671875,0.044354248046874975,0.02547200520833333,0.703125,-4.592777777777778,6.001315789473665
1,0.04931640625,0.048828125,-0.007330322265624998,0.108642578125,-0.02001953125,-0.084478759765625,0.0380859375,4,103,64,42.0,99.0,0.055419921875,96.0,-0.006591796875,-0.069830322265625,0.05054321289062491,0.8474,-0.019368489583333336,-0.06901448567708333,0.030847167968749943,0.012776692708333337,0.32926829268292684,-8.721428571428568,9.334090909090898
2,0.02783203125,0.050048828125,-0.01806640625,0.1201171875,0.004638671875,-0.059332275390624994,0.068115234375,3,108,64,77.0,95.0,0.073974609375,95.0,-0.004638671875,-0.0576171875,0.05078125,0.8765,-0.004638671874999999,-0.051190185546875,0.041668701171874975,8.673617379884035e-19,-1.0,-9.126041666666666,9.778333333333325
3,-0.01513671875,0.054443359375,-0.015142822265624998,0.1313537597656249,-0.002685546875,-0.068115234375,0.0634765625,0,61,64,,,,,,,,,,,,,,,
4,0.049072265625,0.068603515625,-0.008544921875,0.1567443847656249,-0.00732421875,-0.06591796875,0.05176391601562491,2,81,64,84.0,81.0,0.03369140625,92.0,0.003173828125,-0.06689453125,0.06616821289062491,0.9375,-0.01741536458333333,-0.07023111979166666,0.030031331380208304,0.020589192708333332,-0.43333333333333335,-9.360714285714286,13.630208333333258
5,-0.04833984375,0.05322265625,-0.013671875,0.126708984375,0.013671875,-0.050537109375,0.07813110351562491,2,84,64,121.0,78.0,0.03515625,85.0,-0.00732421875,-0.057623291015624994,0.0439453125,0.7884,-0.013753255208333339,-0.07292683919270833,0.047448730468749936,0.0064290364583333365,-0.5357142857142857,-9.363920454545454,9.589046653144004
6,0.039306640625,0.04345703125,-0.022467041015624998,0.112060546875,0.006103515625,-0.055419921875,0.06640625,0,55,64,,,,,,,,,,,,,,,
7,0.01904296875,0.0595703125,0.00048828125,0.1220703125,-0.017578125,-0.082037353515625,0.04785766601562491,1,89,64,62.0,89.0,0.01123046875,91.0,0.00146484375,-0.045172119140624994,0.050537109375,0.9636,-0.011637369791666668,-0.05257161458333333,0.02864786783854163,0.013102213541666673,-0.08333333333333333,-5.646350931677018,8.911363636363603
8,0.021728515625,0.01904296875,-0.041748046875,0.07837524414062491,0.009033203125,-0.037603759765624994,0.056884765625,3,85,64,28.0,68.0,-0.021240234375,77.0,-0.008056640625,-0.05224609375,0.03223266601562491,0.7278,0.0244140625,-0.02579752604166666,0.07088419596354163,-0.032470703125,-0.8918918918918919,-13.770000000000001,10.616666666666648
9,0.001220703125,0.02294921875,-0.0302734375,0.07739868164062491,0.036865234375,-0.032232666015624994,0.1064453125,1,66,64,3.0,66.0,-0.022216796875,74.0,0.00048828125,-0.03076171875,0.033203125,0.9871,-0.023600260416666668,-0.06592203776041666,0.0178243001302083,0.024088541666666668,0.013245033112582781,-3.055779569892473,3.5006578947368325
10,0.01171875,0.032958984375,-0.02880859375,0.10107421875,0.008056640625,-0.052001953125,0.06983032226562491,0,60,64,,,,,,,,,,,,,,,
11,0.001220703125,0.050048828125,-0.011474609375,0.120849609375,0.0185546875,-0.0390625,0.075439453125,3,65,64,77.0,65.0,-0.0205078125,73.0,0.068603515625,0.020751953125,0.12280883789062491,0.0066,0.069091796875,0.015295410156250001,0.12727864583333331,-0.00048828124999999827,3.6973684210526314,-22.39280303030303,26.25624999999991
12,0.009033203125,0.07763671875,0.013421630859375002,0.14599609375,0.0029296875,-0.053466796875,0.06324462890624982,0,57,64,,,,,,,,,,,,,,,
13,-0.04296875,0.1201171875,0.044915771484375006,0.198486328125,0.003173828125,-0.077392578125,0.07691040039062491,2,94,64,81.0,94.0,-0.012939453125,93.0,-0.005859375,-0.05126953125,0.03858032226562491,0.8114,-0.015299479166666661,-0.06770833333333333,0.04003906249999999,0.009440104166666663,-1.8461538461538463,-7.721318181818181,6.800999999999985
