Set,rank,pair,disc active,disc all-case mean,val active,val rescue,val Spec,two-stage
R3,4,L47E046,74/128,+0.044,55/128,"-0.003 [-0.030, +0.025]","-0.101 [-0.147, -0.054]",
R3,5,L40E069,66/128,+0.031,67/128,"-0.007 [-0.047, +0.031]","-0.004 [-0.043, +0.034]",
R3,6,L1E042,109/128,+0.029,96/128,"-0.003 [-0.035, +0.024]","+0.016 [-0.011, +0.041]",
R3,7,L42E039,72/128,+0.025,69/128,"-0.009 [-0.028, +0.010]","-0.033 [-0.060, -0.005]",
R3,8,L5E028,71/128,+0.023,68/128,"-0.004 [-0.030, +0.021]","-0.019 [-0.048, +0.011]",
R3,9,L4E084,97/128,+0.023,102/128,"+0.011 [-0.027, +0.047]","+0.019 [-0.009, +0.048]",
R3,10,L16E120,88/128,+0.020,95/128,"-0.001 [-0.035, +0.031]","-0.002 [-0.027, +0.023]",
all,1,L45E014,109/128,+0.069,108/128,"+0.074 [+0.018, +0.136]","+0.071 [+0.012, +0.132]",
all,2,L2E026,121/128,+0.029,117/128,"+0.049 [-0.008, +0.114]","+0.031 [-0.018, +0.086]",
all,3,L41E023,108/128,+0.021,116/128,"+0.009 [-0.038, +0.053]","-0.025 [-0.082, +0.029]",
all,4,L44E091,95/128,+0.018,97/128,"-0.002 [-0.023, +0.018]","-0.021 [-0.045, +0.001]",
all,5,L4E084,94/128,+0.016,99/128,"-0.001 [-0.036, +0.033]","+0.010 [-0.030, +0.050]",
all,6,L37E046,70/128,+0.014,81/128,"+0.015 [-0.005, +0.035]","-0.001 [-0.039, +0.035]",
all,7,L8E038,81/128,+0.011,85/128,"-0.017 [-0.047, +0.013]","+0.005 [-0.023, +0.033]",
all,8,L43E086,91/128,+0.010,99/128,"-0.012 [-0.037, +0.013]","-0.060 [-0.095, -0.028]",
all,9,L4E036,72/128,+0.009,70/128,"+0.020 [-0.021, +0.064]","+0.018 [-0.022, +0.060]",
all,10,L20E038,83/128,+0.009,81/128,"+0.004 [-0.021, +0.031]","+0.008 [-0.021, +0.038]",
