kind,layer,mean,ci_lo,ci_hi,pos_frac,n,vnorm_mean,split,increment
attn_layer,0,0.029754638671875,-0.10813217163085938,0.17013626098632811,0.4453125,128,0.5868505475227721,validation,
attn_layer,1,-0.09773635864257812,-0.2269693374633789,0.006935882568359253,0.390625,128,1.410723814740777,validation,
attn_layer,2,-0.010040283203125,-0.052032470703125,0.028324890136718683,0.3828125,128,2.176476751687005,validation,
attn_layer,3,0.01800537109375,-0.06302032470703126,0.09979324340820311,0.3984375,128,2.7719591152854264,validation,
attn_layer,4,0.06696319580078125,0.030959701538085936,0.10198993682861328,0.5,128,3.3274478120729327,validation,
attn_layer,5,0.051849365234375,-0.001379394531249998,0.10595703125,0.5,128,3.884599668905139,validation,
attn_layer,6,0.04058074951171875,-0.01568603515625,0.09450244903564446,0.5078125,128,4.28650658018887,validation,
attn_layer,7,0.005859375,-0.060243988037109376,0.0620780944824218,0.4765625,128,5.60176526941359,validation,
attn_layer,8,0.082183837890625,0.031127166748046876,0.13620147705078123,0.5390625,128,5.81752123311162,validation,
attn_layer,9,0.006439208984375,-0.0345489501953125,0.04626693725585934,0.4296875,128,6.067405100911856,validation,
attn_layer,10,0.00839996337890625,-0.029508781433105466,0.0412624359130859,0.4296875,128,6.7086702939122915,validation,
attn_layer,11,0.030120849609375,-0.012302398681640623,0.07086791992187491,0.4140625,128,7.677666962146759,validation,
attn_layer,12,0.00965118408203125,-0.042791748046874994,0.05765628814697264,0.421875,128,8.967090709134936,validation,
attn_layer,13,0.0255126953125,-0.025909423828125,0.07254333496093746,0.46875,128,9.079517429694533,validation,
attn_layer,14,0.07720565795898438,0.0283203125,0.12927637100219716,0.53125,128,11.488469893112779,validation,
attn_layer,15,0.32342529296875,0.24181671142578126,0.40967025756835934,0.7109375,128,14.172468872740865,validation,
attn_layer,16,0.08319091796875,0.047119140625,0.12173614501953123,0.5390625,128,14.32138217240572,validation,
attn_layer,17,-0.008758544921875,-0.0598480224609375,0.033938598632812456,0.3984375,128,16.917873471975327,validation,
attn_layer,18,0.7975921630859375,0.6484310150146484,0.9557003021240232,0.75,128,23.879249699413776,validation,
attn_layer,19,0.825836181640625,0.70306396484375,0.9517532348632812,0.9296875,128,26.383738797158003,validation,
attn_layer,20,0.08575439453125,0.04464569091796875,0.13128890991210934,0.5546875,128,26.957316044718027,validation,
attn_layer,21,0.11456298828125,0.06268310546875,0.16946868896484368,0.546875,128,25.193937204778194,validation,
attn_layer,22,-0.00128173828125,-0.03241043090820313,0.026887512207031228,0.3359375,128,20.49410130083561,validation,
attn_layer,23,0.05350494384765625,0.020636558532714844,0.08588504791259764,0.4765625,128,24.776226721704006,validation,
attn_layer,24,0.9288749694824219,0.7858197212219238,1.081708812713623,0.9140625,128,26.239758551120758,validation,
attn_layer,25,0.02984619140625,0.004393768310546876,0.059021759033203114,0.3515625,128,21.623535376042128,validation,
attn_layer,26,0.035849571228027344,0.0008560895919799815,0.0739787578582763,0.3359375,128,27.199577074497938,validation,
attn_layer,27,0.166168212890625,0.118408203125,0.222808837890625,0.6015625,128,33.685314521193504,validation,
attn_layer,28,0.1005859375,0.05761642456054687,0.15304641723632811,0.5703125,128,36.207570284605026,validation,
attn_layer,29,0.5391006469726562,0.44510555267333984,0.6396936416625976,0.875,128,59.70655592530966,validation,
attn_layer,30,0.1150360107421875,0.07948150634765624,0.15185546875,0.625,128,62.28278584778309,validation,
attn_layer,31,0.2883453369140625,0.16524925231933593,0.3999561309814452,0.703125,128,526.5862445235252,validation,
layer,0,0.036590576171875,-0.10541458129882812,0.1815101623535153,0.4375,128,17.30181250302121,validation,
layer,1,0.052215576171875,-0.09738845825195312,0.20810241699218746,0.3515625,128,1005.5392305925488,validation,
layer,2,0.01171875,-0.02179412841796875,0.04370498657226557,0.3828125,128,1.5638733064761254,validation,
layer,3,-0.03106689453125,-0.10773468017578125,0.03997955322265623,0.390625,128,3.107324567536125,validation,
layer,4,0.022796630859375,-0.031158447265625,0.07676162719726548,0.4453125,128,3.977305648579204,validation,
layer,5,0.004852294921875,-0.052524566650390625,0.061981201171875,0.421875,128,5.406171902752249,validation,
layer,6,0.029144287109375,-0.030673980712890625,0.092864990234375,0.390625,128,6.516198629193241,validation,
layer,7,-0.018951416015625,-0.10529251098632812,0.05307388305664057,0.421875,128,7.47738336774637,validation,
layer,8,0.001312255859375,-0.054901123046875,0.056884765625,0.3671875,128,8.243750782625284,validation,
layer,9,-0.034210205078125,-0.13504104614257811,0.05844345092773434,0.4296875,128,12.80244735092856,validation,
layer,10,0.018890380859375,-0.045870208740234376,0.07886352539062491,0.4140625,128,9.441387518425472,validation,
