Set,last-layer block rescue (val),L* interior (≤ L−5),block rescue (val),e* interior,active disc / val,expert rescue (val),Spec (active-random),rank-1 among active,coalition clean / union,joint winner (interior layers)
S1,"L47: +2.420 [+2.069, +2.803]",L42,"+1.261 [+1.044, +1.506]",L42E048,125/128 / 125/128,"+0.916 [+0.737, +1.117]","+0.873 [+0.700, +1.068]",99/125,+1.267 / +1.265,"L43E084 +0.940 [+0.723, +1.189], Spec +0.930 [+0.710, +1.174] (rank 2 over all layers)"
S2,"L47: +0.642 [+0.505, +0.780]",L41,"+0.488 [+0.400, +0.575]",L41E041,128/128 / 128/128,"+0.551 [+0.452, +0.652]","+0.549 [+0.451, +0.649]",106/128,+0.542 / +0.511,"L41E041 +0.551 [+0.452, +0.652], Spec +0.549 [+0.451, +0.649] (rank 1 over all layers)"
S3,"L47: +1.054 [+0.836, +1.277]",L42,"+0.441 [+0.325, +0.566]",L42E044,96/128 / 97/128,"+0.125 [+0.078, +0.176]","+0.090 [+0.042, +0.139]",36/97,+0.357 / +0.422,"L42E044 +0.125 [+0.078, +0.176], Spec +0.090 [+0.042, +0.139] (rank 2 over all layers)"
R1,"L47: +0.160 [-0.138, +0.458]",L43,"+0.391 [+0.299, +0.490]",L43E126,121/128 / 118/128,"+0.326 [+0.252, +0.408]","+0.316 [+0.242, +0.400]",87/118,+0.370 / +0.400,"L43E126 +0.326 [+0.252, +0.408], Spec +0.316 [+0.242, +0.400] (rank 1 over all layers)"
R2,"L47: +0.935 [+0.679, +1.223]",L43,"+0.353 [+0.252, +0.453]",L43E051,124/128 / 126/128,"+0.230 [+0.163, +0.301]","+0.234 [+0.166, +0.306]",74/126,+0.333 / +0.330,"L43E051 +0.230 [+0.163, +0.301], Spec +0.234 [+0.166, +0.306] (rank 2 over all layers)"
R3,"L47: +0.828 [+0.600, +1.056]",L43,"+0.216 [+0.129, +0.305]",L43E126,64/128 / 74/128,"+0.070 [+0.036, +0.106]","+0.055 [+0.020, +0.092]",40/74,+0.168 / +0.195,"L6E113 -0.015 [-0.032, +0.002], Spec -0.015 [-0.033, +0.003] (rank 4 over all layers)"
all,"L47: +0.962 [+0.728, +1.215]",L41,"+0.381 [+0.264, +0.505]",L41E023,121/128 / 125/128,"-0.000 [-0.033, +0.035]","-0.039 [-0.079, +0.002]",34/125,+0.373 / +0.363,"L42E048 +0.256 [+0.174, +0.349], Spec +0.258 [+0.177, +0.348] (rank 1 over all layers)"
