kind,layer,mean,ci_lo,ci_hi,pos_frac,n,vnorm_mean,split,increment
attn_layer,0,0.02685546875,-0.00439453125,0.06007080078124982,0.3984375,128,0.24568655632901937,validation,
attn_layer,1,0.04833984375,-0.02099609375,0.123046875,0.3828125,128,0.470004370319657,validation,
attn_layer,2,0.02783203125,-0.029309082031249996,0.0810546875,0.421875,128,0.8869337467476726,validation,
attn_layer,3,0.00390625,-0.03955078125,0.04884033203124982,0.3984375,128,1.1534245195798576,validation,
attn_layer,4,0.0283203125,-0.009765625,0.06983642578124982,0.3828125,128,1.1175515276845545,validation,
attn_layer,5,-0.0068359375,-0.0478515625,0.03173828125,0.3203125,128,1.1403126097284257,validation,
attn_layer,6,0.03125,-0.0126953125,0.0771484375,0.4453125,128,1.4828193299472332,validation,
attn_layer,7,-0.0126953125,-0.04931640625,0.0224609375,0.3359375,128,1.4433607696555555,validation,
attn_layer,8,0.00634765625,-0.0224609375,0.03662109375,0.3359375,128,1.5017089108005166,validation,
attn_layer,9,-0.0029296875,-0.037109375,0.02978515625,0.3671875,128,1.4451326918788254,validation,
attn_layer,10,-0.01220703125,-0.03662109375,0.0126953125,0.265625,128,1.1523583293892443,validation,
attn_layer,11,0.01123046875,-0.02001953125,0.044921875,0.3203125,128,1.5473256525583565,validation,
attn_layer,12,0.0126953125,-0.01025390625,0.0361328125,0.359375,128,1.4290291760116816,validation,
attn_layer,13,-0.009765625,-0.0390625,0.02099609375,0.28125,128,1.5572185036726296,validation,
attn_layer,14,0.0185546875,-0.0166015625,0.05224609375,0.40625,128,2.0942161921411753,validation,
attn_layer,15,-0.0205078125,-0.04736328125,0.0068359375,0.234375,128,1.709654051810503,validation,
attn_layer,16,0.13818359375,0.0927734375,0.18310546875,0.6640625,128,2.4017282482236624,validation,
attn_layer,17,-0.0166015625,-0.04052734375,0.0068359375,0.3046875,128,2.027010656427592,validation,
attn_layer,18,0.0166015625,-0.0146484375,0.0478515625,0.3671875,128,2.4399658059701324,validation,
