kind,layer,mean,ci_lo,ci_hi,pos_frac,n,vnorm_mean,split,increment
layer,25,0.2275390625,0.1396484375,0.3183715820312498,0.5390625,128,41.83493906259537,validation,
layer,26,0.1572265625,0.09375,0.22265625,0.5625,128,42.28890276700258,validation,
layer,27,0.1728515625,0.08203125,0.2705200195312498,0.53125,128,48.47506405413151,validation,
layer,28,0.1923828125,0.09033203125,0.302734375,0.5390625,128,51.00484937429428,validation,
layer,29,-0.10546875,-0.19825439453125,-0.0185546875,0.3515625,128,69.72954420745373,validation,
layer,30,-0.19970703125,-0.28173828125,-0.11668701171875018,0.28125,128,69.84707833826542,validation,
layer,31,-0.12939453125,-0.24465332031249998,-0.0048828125,0.375,128,170.5079693645239,validation,
block,0,-0.01220703125,-0.03173828125,0.00537109375,0.1953125,128,0.4096851930953562,validation,
block,1,-0.0322265625,-0.0576171875,-0.0087890625,0.203125,128,0.8454217037651688,validation,
block,2,-0.0068359375,-0.03369140625,0.01904296875,0.3203125,128,1.2363324221223593,validation,
block,3,0.04248046875,0.00390625,0.0869140625,0.3984375,128,2.320599557366222,validation,
block,4,0.0615234375,0.01318359375,0.1083984375,0.4765625,128,3.6201428091153502,validation,
block,5,0.07568359375,0.01513671875,0.1416015625,0.4296875,128,5.340673364698887,validation,
block,6,0.09375,0.03369140625,0.1572265625,0.453125,128,6.745298847556114,validation,
block,7,0.11572265625,0.057116699218750004,0.17335205078124982,0.5234375,128,8.157132586464286,validation,
block,8,0.07958984375,0.02734375,0.1318359375,0.5234375,128,9.177615445107222,validation,
block,9,0.0302734375,-0.01318359375,0.07275390625,0.390625,128,9.585742119699717,validation,
block,10,0.02197265625,-0.017578125,0.06005859375,0.4375,128,10.554204232990742,validation,
block,11,0.01953125,-0.0185546875,0.0576171875,0.375,128,11.479854993522167,validation,
block,12,0.01220703125,-0.029296875,0.05419921875,0.390625,128,11.632879573851824,validation,
block,13,0.03759765625,-0.008801269531249996,0.08594970703124982,0.4375,128,13.502179723232985,validation,
block,14,0.1357421875,0.08006591796875001,0.19434814453124982,0.578125,128,15.658800721168518,validation,
block,15,0.58056640625,0.470703125,0.6928833007812498,0.78125,128,19.477214224636555,validation,
block,16,0.12939453125,0.07421875,0.18702392578124982,0.546875,128,20.257578305900097,validation,
block,17,0.1640625,0.1044921875,0.22412109375,0.6640625,128,22.448472388088703,validation,
block,18,1.28466796875,1.07421875,1.4985473632812498,0.90625,128,31.971269853413105,validation,
block,19,1.3740234375,1.1796875,1.5766845703124996,0.890625,128,39.34858579933643,validation,
block,20,0.57177734375,0.4501953125,0.7021484375,0.75,128,38.09484501183033,validation,
block,21,0.57373046875,0.4599609375,0.6953125,0.8046875,128,39.2685801461339,validation,
block,22,0.3349609375,0.2529296875,0.4228515625,0.7109375,128,39.80438111722469,validation,
block,23,0.333984375,0.26416015625,0.408203125,0.7578125,128,38.644530683755875,validation,
block,24,0.9921875,0.81884765625,1.17431640625,0.828125,128,45.25152765214443,validation,
block,25,0.251953125,0.1611328125,0.345703125,0.5703125,128,43.26841898262501,validation,
