seed,threshold,e_star,val_rescue,val_spec,val_active,n_candidates
0,32,69,0.433837890625,0.3951009114583333,111,7
0,48,69,0.433837890625,0.3951009114583333,111,6
0,64,69,0.433837890625,0.3951009114583333,111,6
0,80,69,0.433837890625,0.3951009114583333,111,4
0,96,69,0.433837890625,0.3951009114583333,111,3
1,32,69,0.478759765625,0.42179361979166663,114,7
1,48,69,0.478759765625,0.42179361979166663,114,6
1,64,69,0.478759765625,0.42179361979166663,114,5
1,80,69,0.478759765625,0.42179361979166663,114,4
1,96,69,0.478759765625,0.42179361979166663,114,3
2,32,69,0.518310546875,0.4751790364583333,119,7
2,48,69,0.518310546875,0.4751790364583333,119,6
2,64,69,0.518310546875,0.4751790364583333,119,6
2,80,69,0.518310546875,0.4751790364583333,119,4
2,96,69,0.518310546875,0.4751790364583333,119,3
3,32,69,0.52001953125,0.4567057291666667,115,7
3,48,69,0.52001953125,0.4567057291666667,115,6
3,64,69,0.52001953125,0.4567057291666667,115,6
3,80,69,0.52001953125,0.4567057291666667,115,4
3,96,69,0.52001953125,0.4567057291666667,115,2
4,32,69,0.502197265625,0.44490559895833337,119,7
4,48,69,0.502197265625,0.44490559895833337,119,6
4,64,69,0.502197265625,0.44490559895833337,119,6
4,80,69,0.502197265625,0.44490559895833337,119,4
4,96,69,0.502197265625,0.44490559895833337,119,2
