Model,Layer,Layer rescue,Paper,Expert,Paper expert,Disc. active,Paper,Expert rescue,Paper,Spec,Paper
Qwen3-30B-A3B-Base,L44,"+0.791 [+0.668, +0.909]","+0.846 [+0.760, +0.934]",L44E069,L44E069,228/256,230/256,"+0.418 [+0.322, +0.524]","+0.454 [+0.367, +0.545]","+0.365 [+0.264, +0.473]","+0.413 [+0.318, +0.511]"
Mixtral-8x7B-v0.1,L19,"+0.600 [+0.523, +0.685]","+0.421 [+0.352, +0.489]",L19E002,L19E006,166/256,174/256,"+0.357 [+0.288, +0.433]","+0.114 [+0.041, +0.187]","+0.175 [+0.103, +0.252]","-0.155 [-0.247, -0.067]"
