seed,threshold,e_star,val_rescue,val_spec,val_active,n_candidates
0,32,2.0,0.38818359375,0.22216796875,81.0,3.0
0,48,2.0,0.38818359375,0.22216796875,81.0,3.0
0,64,2.0,0.38818359375,0.22216796875,81.0,2.0
0,80,,,,,
0,96,,,,,
1,32,2.0,0.373046875,0.2041015625,82.0,3.0
1,48,2.0,0.373046875,0.2041015625,82.0,3.0
1,64,2.0,0.373046875,0.2041015625,82.0,2.0
1,80,,,,,
1,96,,,,,
2,32,2.0,0.35302734375,0.19873046875,79.0,3.0
2,48,2.0,0.35302734375,0.19873046875,79.0,2.0
2,64,2.0,0.35302734375,0.19873046875,79.0,2.0
2,80,2.0,0.35302734375,0.19873046875,79.0,1.0
2,96,,,,,
3,32,2.0,0.3623046875,0.2001953125,83.0,3.0
3,48,2.0,0.3623046875,0.2001953125,83.0,3.0
3,64,2.0,0.3623046875,0.2001953125,83.0,1.0
3,80,,,,,
3,96,,,,,
4,32,2.0,0.32958984375,0.17822265625,76.0,3.0
4,48,2.0,0.32958984375,0.17822265625,76.0,2.0
4,64,2.0,0.32958984375,0.17822265625,76.0,2.0
4,80,2.0,0.32958984375,0.17822265625,76.0,1.0
4,96,,,,,
