model,set,layer,disc_mean,val_mean,ci_lo,ci_hi,pos_frac
mixtral,strict,30,-0.11572265625,-0.1025390625,-0.19140625,-0.013671875,0.4140625
mixtral,strict,31,-0.16259765625,-0.13623046875,-0.2587890625,-0.009765625,0.3671875
mixtral,relaxed,0,0.00537109375,0.0029296875,-0.009521484375,0.015625,0.22265625
mixtral,relaxed,1,-0.005615234375,0.01318359375,-0.00341796875,0.02978515625,0.2890625
mixtral,relaxed,2,-0.0078125,0.0087890625,-0.00732421875,0.025146484375,0.28515625
mixtral,relaxed,3,0.01611328125,0.017333984375,-0.005377197265624998,0.03955078125,0.33984375
mixtral,relaxed,4,0.029541015625,0.01708984375,-0.009765625,0.044189453125,0.390625
mixtral,relaxed,5,0.046142578125,0.039794921875,0.01025390625,0.07080078125,0.40625
mixtral,relaxed,6,0.031494140625,0.02734375,-0.001953125,0.056884765625,0.39453125
mixtral,relaxed,7,0.023193359375,0.052734375,0.0234375,0.08251953125,0.42578125
mixtral,relaxed,8,0.01611328125,0.029296875,-0.004150390625,0.06348266601562491,0.43359375
mixtral,relaxed,9,0.0048828125,-0.000244140625,-0.023681640625,0.023681640625,0.359375
mixtral,relaxed,10,0.021484375,0.018798828125,-0.00439453125,0.04273071289062491,0.3984375
mixtral,relaxed,11,0.010009765625,0.010009765625,-0.014654541015624998,0.0341796875,0.359375
mixtral,relaxed,12,-0.01416015625,0.003662109375,-0.02001953125,0.02710571289062491,0.33984375
mixtral,relaxed,13,-0.009033203125,0.0107421875,-0.01513671875,0.03759765625,0.375
mixtral,relaxed,14,0.0556640625,0.03759765625,0.007568359375,0.06812133789062491,0.41015625
mixtral,relaxed,15,0.128173828125,0.108154296875,0.065185546875,0.148681640625,0.546875
mixtral,relaxed,16,0.12939453125,0.066650390625,0.03125,0.10302734375,0.5078125
mixtral,relaxed,17,0.152099609375,0.131103515625,0.097900390625,0.1669921875,0.58203125
mixtral,relaxed,18,0.32080078125,0.305419921875,0.253173828125,0.359619140625,0.7265625
mixtral,relaxed,19,0.598876953125,0.599853515625,0.522698974609375,0.6853088378906249,0.85546875
mixtral,relaxed,20,0.49853515625,0.447509765625,0.381097412109375,0.5197814941406249,0.7421875
mixtral,relaxed,21,0.47705078125,0.49169921875,0.419189453125,0.5661743164062498,0.77734375
mixtral,relaxed,22,0.3037109375,0.41455078125,0.352294921875,0.4802307128906249,0.796875
mixtral,relaxed,23,0.284423828125,0.251220703125,0.200927734375,0.305908203125,0.67578125
mixtral,relaxed,24,0.148193359375,0.15576171875,0.09764404296875001,0.218017578125,0.57421875
mixtral,relaxed,25,0.287353515625,0.200439453125,0.142578125,0.2639282226562498,0.6015625
mixtral,relaxed,26,0.136962890625,0.1796875,0.13330078125,0.227783203125,0.62109375
mixtral,relaxed,27,0.210693359375,0.17236328125,0.11669921875,0.23388671875,0.59765625
mixtral,relaxed,28,0.1826171875,0.216796875,0.155267333984375,0.28271484375,0.60546875
mixtral,relaxed,29,-0.02001953125,-0.03515625,-0.10546875,0.03173828125,0.4453125
mixtral,relaxed,30,-0.1396484375,-0.054443359375,-0.11865234375,0.00830078125,0.40625
mixtral,relaxed,31,-0.18212890625,-0.0927734375,-0.18603515625,-0.0019470214843750888,0.41796875
