Set,Layer,Layer rescue (val),# candidates,Best expert,Disc. active,Disc. rescue,Val. rescue [CI],Spec [CI],Expert/layer
relaxed,25,+0.021,4,E044,175/256,+0.006,"+0.005 [-0.006, +0.017]","+0.006 [-0.005, +0.018]",+0.280
relaxed,26,+0.037,4,E038,223/256,+0.011,"+0.012 [-0.002, +0.027]","+0.010 [-0.005, +0.024]",+0.357
relaxed,27,+0.047,5,E040,252/256,+0.015,"+0.008 [-0.008, +0.024]","+0.009 [-0.006, +0.024]",+0.213
relaxed,28,+0.172,8,E030,228/256,+0.052,"+0.066 [+0.045, +0.087]","+0.057 [+0.036, +0.078]",+0.396
relaxed,29,+0.037,4,E001,190/256,+0.013,"+0.020 [+0.006, +0.033]","+0.023 [+0.009, +0.037]",+0.411
relaxed,30,+0.093,3,E089,172/256,+0.036,"+0.013 [-0.003, +0.031]","+0.008 [-0.009, +0.027]",+0.148
relaxed,31,+0.032,3,E082,128/256,+0.009,"+0.012 [-0.004, +0.031]","+0.015 [-0.005, +0.037]",+0.459
relaxed,32,+0.016,3,E032,149/256,+0.016,"+0.008 [-0.008, +0.026]","+0.007 [-0.010, +0.024]",+0.362
relaxed,33,+0.100,4,E076,185/256,+0.063,"+0.058 [+0.035, +0.084]","+0.058 [+0.036, +0.083]",+0.669
relaxed,34,+0.066,5,E094,198/256,+0.038,"+0.037 [+0.022, +0.053]","+0.037 [+0.021, +0.053]",+0.486
relaxed,35,+0.013,7,E058,145/256,+0.002,"-0.005 [-0.014, +0.005]","+0.002 [-0.009, +0.012]",-0.304
relaxed,36,+0.014,5,E002,232/256,+0.014,"+0.006 [-0.006, +0.019]","-0.010 [-0.022, +0.003]",+0.218
relaxed,37,+0.071,5,E104,254/256,+0.034,"+0.057 [+0.031, +0.085]","+0.046 [+0.020, +0.074]",+0.714
relaxed,38,+0.097,6,E057,175/256,+0.038,"+0.051 [+0.034, +0.070]","+0.027 [+0.010, +0.045]",+0.419
relaxed,39,+0.061,5,E040,241/256,+0.037,"+0.048 [+0.030, +0.066]","+0.031 [+0.013, +0.049]",+0.496
relaxed,40,+0.406,5,E127,180/256,+0.119,"+0.129 [+0.092, +0.170]","+0.084 [+0.044, +0.126]",+0.305
relaxed,41,+0.248,4,E001,213/256,+0.101,"+0.130 [+0.101, +0.161]","+0.106 [+0.077, +0.136]",+0.495
relaxed,42,+0.559,5,E115,244/256,+0.412,"+0.426 [+0.369, +0.484]","+0.393 [+0.335, +0.451]",+0.752
relaxed,43,+0.572,5,E005,159/256,+0.137,"+0.142 [+0.094, +0.197]","+0.068 [+0.017, +0.125]",+0.246
relaxed,44,+0.791,5,E069,228/256,+0.394,"+0.429 [+0.331, +0.537]","+0.364 [+0.263, +0.473]",+0.529
relaxed,45,-0.143,4,E037,130/256,-0.010,"+0.001 [-0.011, +0.013]","+0.028 [+0.006, +0.049]",-0.009
relaxed,46,-0.123,6,E127,136/256,+0.000,"+0.003 [-0.004, +0.010]","+0.005 [-0.011, +0.020]",-0.028
relaxed,47,-0.073,6,E032,222/256,+0.041,"+0.032 [+0.016, +0.050]","+0.045 [+0.025, +0.065]",-0.516
