layer,attn,moe,sum,block,gap,gap_lo,gap_hi,r_case,frac_block_gt_sum,n
0,0.029754638671875,0.036590576171875,0.06634521484375,0.029754638671875,-0.036590576171875,-0.1815101623535156,0.10541458129882803,0.9963972801837041,0.3828125,128
1,-0.09773635864257812,0.052215576171875,-0.045520782470703125,0.022186279296875,0.06770706176757812,-0.04691314697265625,0.20168380737304664,0.8762168533931008,0.4140625,128
2,-0.010040283203125,0.01171875,0.001678466796875,0.03619384765625,0.034515380859375,-0.01312255859375,0.09461593627929671,0.5396820895292722,0.3203125,128
3,0.01800537109375,-0.03106689453125,-0.0130615234375,0.040740966796875,0.053802490234375,-0.020574188232421874,0.13663635253906237,0.7792292352351726,0.3515625,128
4,0.06696319580078125,0.022796630859375,0.08975982666015625,0.055145263671875,-0.03461456298828125,-0.07470722198486328,0.005488586425781206,0.8234425124208199,0.3125,128
5,0.051849365234375,0.004852294921875,0.05670166015625,0.082672119140625,0.025970458984375,-0.034792327880859376,0.09668731689453114,0.6730451958895523,0.375,128
6,0.04058074951171875,0.029144287109375,0.06972503662109375,0.095672607421875,0.02594757080078125,-0.03331565856933594,0.09110412597656237,0.7758445234850214,0.328125,128
7,0.005859375,-0.018951416015625,-0.013092041015625,0.091522216796875,0.1046142578125,0.009179687500000002,0.22116317749023434,0.35197475583374055,0.3984375,128
8,0.082183837890625,0.001312255859375,0.08349609375,0.074432373046875,-0.009063720703125,-0.06610107421875,0.047030639648437456,0.8071894421162314,0.40625,128
9,0.006439208984375,-0.034210205078125,-0.02777099609375,-0.012603759765625,0.015167236328125,-0.030397796630859373,0.06372146606445311,0.9077247818461489,0.328125,128
10,0.00839996337890625,0.018890380859375,0.02729034423828125,0.032806396484375,0.00551605224609375,-0.02832794189453125,0.04014682769775389,0.9271585536211184,0.3671875,128
11,0.030120849609375,0.019012451171875,0.04913330078125,0.052215576171875,0.003082275390625,-0.05517578125,0.07492523193359368,0.5921791097646898,0.3515625,128
12,0.00965118408203125,0.001434326171875,0.01108551025390625,-0.007232666015625,-0.01831817626953125,-0.11293315887451172,0.05447673797607418,0.6400949960131815,0.3515625,128
13,0.0255126953125,0.069671630859375,0.095184326171875,0.120941162109375,0.0257568359375,-0.029576873779296874,0.09225616455078123,0.8480969442672042,0.359375,128
14,0.07720565795898438,0.023529052734375,0.10073471069335938,0.068450927734375,-0.032283782958984375,-0.08318719863891602,0.013858890533447264,0.8861474441656169,0.2890625,128
15,0.32342529296875,0.08123779296875,0.4046630859375,0.474700927734375,0.070037841796875,0.013421630859375002,0.13519515991210934,0.8566397081369145,0.40625,128
16,0.08319091796875,0.081146240234375,0.164337158203125,0.163055419921875,-0.00128173828125,-0.04058837890625,0.037934112548828114,0.9194846136244308,0.3671875,128
17,-0.008758544921875,0.1154937744140625,0.1067352294921875,0.094451904296875,-0.0122833251953125,-0.05726432800292968,0.038287353515624956,0.8616596591390139,0.296875,128
18,0.7975921630859375,0.231658935546875,1.0292510986328125,1.0223426818847656,-0.006908416748046875,-0.05769147872924805,0.04914140701293939,0.9644491510279443,0.3515625,128
19,0.825836181640625,0.463775634765625,1.28961181640625,1.182708740234375,-0.106903076171875,-0.16700057983398436,-0.04781875610351566,0.9615277611571545,0.28125,128
20,0.08575439453125,0.388580322265625,0.474334716796875,0.48431396484375,0.009979248046875,-0.021578979492187497,0.04367294311523434,0.9605086224158418,0.3359375,128
21,0.11456298828125,0.531219482421875,0.645782470703125,0.653778076171875,0.00799560546875,-0.026580810546875,0.04656982421875,0.9687658019412732,0.296875,128
22,-0.00128173828125,0.256805419921875,0.255523681640625,0.25360107421875,-0.001922607421875,-0.052707672119140625,0.045135498046875,0.8772680286808863,0.3125,128
23,0.05350494384765625,0.2164459228515625,0.26995086669921875,0.282012939453125,0.01206207275390625,-0.017968368530273438,0.04140720367431637,0.9271394204054457,0.4140625,128
24,0.9288749694824219,0.150177001953125,1.0790519714355469,1.071502685546875,-0.007549285888671875,-0.063140869140625,0.05097579956054682,0.9536815807101386,0.3671875,128
25,0.02984619140625,0.245574951171875,0.275421142578125,0.288055419921875,0.01263427734375,-0.012024688720703124,0.03723297119140623,0.9764505757167576,0.3046875,128
26,0.035849571228027344,0.07320404052734375,0.1090536117553711,0.11759185791015625,0.008538246154785156,-0.02334117889404297,0.04137082099914546,0.8820288925106077,0.2734375,128
27,0.166168212890625,0.088836669921875,0.2550048828125,0.217254638671875,-0.037750244140625,-0.0792236328125,-0.0024391174316406583,0.9670052223270947,0.296875,128
28,0.1005859375,0.069854736328125,0.170440673828125,0.140777587890625,-0.0296630859375,-0.0760498046875,0.006594848632812456,0.9290709209850521,0.3359375,128
29,0.5391006469726562,-0.0446624755859375,0.49443817138671875,0.46051025390625,-0.03392791748046875,-0.07875957489013671,0.007845115661621063,0.9629580818882206,0.3203125,128
30,0.1150360107421875,-0.1721954345703125,-0.057159423828125,-0.08245849609375,-0.025299072265625,-0.05702285766601563,0.005936431884765614,0.9699915227030005,0.28125,128
31,0.2883453369140625,-0.070465087890625,0.2178802490234375,0.20455169677734375,-0.01332855224609375,-0.109130859375,0.08564853668212889,0.9031467160810048,0.40625,128
