layer,expert,pair,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_spec_p,val_control,val_rescue_active,rank,is_two_stage
5,0,L5E000,84,-0.00146484375,94,0.0439453125,0.01416015625,0.0751953125,0.0038,0.01123046875,-0.026867675781249996,0.05419921875,0.6182,0.03271484375,0.0598404255319149,30,
9,4,L9E004,76,-0.00146484375,76,0.015625,-0.0029296875,0.0341796875,0.1195,0.0078125,-0.01953125,0.0341796875,0.5971,0.0078125,0.02631578947368421,31,
7,4,L7E004,65,-0.001953125,56,-0.00439453125,-0.02490234375,0.0146484375,0.7264,-0.00341796875,-0.03564453125,0.02783203125,0.857,-0.0009765625,-0.010044642857142858,32,
10,7,L10E007,109,-0.001953125,104,0.02294921875,0.00047607421875000416,0.04638671875,0.0558,0.02685546875,-0.00048828125,0.05517578125,0.0723,-0.00390625,0.028245192307692308,33,
8,6,L8E006,68,-0.00244140625,81,0.01171875,-0.0146484375,0.0380859375,0.4025,-0.01953125,-0.05419921875,0.01611328125,0.2996,0.03125,0.018518518518518517,34,
4,7,L4E007,83,-0.00634765625,87,0.02294921875,0.00341796875,0.0419921875,0.022,0.00634765625,-0.02197265625,0.03564453125,0.6857,0.0166015625,0.033764367816091954,35,
16,7,L16E007,98,-0.00830078125,109,0.06201171875,0.030749511718750004,0.09326171875,0.0,-0.01708984375,-0.050793457031249996,0.0166015625,0.334,0.0791015625,0.07282110091743119,36,
13,0,L13E000,90,-0.0146484375,94,0.02685546875,0.0009765625,0.052734375,0.0505,0.013671875,-0.01513671875,0.04298095703124982,0.3746,0.01318359375,0.036569148936170214,37,
30,4,L30E004,82,-0.01513671875,82,-0.00390625,-0.03662109375,0.02783203125,0.8416,0.06787109375,0.013171386718750004,0.11915283203124982,0.0124,-0.07177734375,-0.006097560975609756,38,
12,1,L12E001,64,-0.02099609375,69,0.001953125,-0.01953125,0.0234375,0.9301,-0.009765625,-0.03662109375,0.016125488281249822,0.5001,0.01171875,0.0036231884057971015,39,
29,3,L29E003,86,-0.03955078125,88,0.0087890625,-0.01806640625,0.037109375,0.5643,0.02099609375,-0.0458984375,0.08837890625,0.5489,-0.01220703125,0.01278409090909091,40,
29,4,L29E004,107,-0.044921875,104,0.02392578125,-0.040539550781249996,0.0888671875,0.4762,0.02490234375,-0.0439453125,0.09228515625,0.4774,-0.0009765625,0.029447115384615384,41,
31,7,L31E007,99,-0.05712890625,103,-0.0146484375,-0.061047363281249996,0.03223876953124982,0.5514,0.08984375,0.019519042968750004,0.16407470703124982,0.0162,-0.1044921875,-0.01820388349514563,42,
31,2,L31E002,88,-0.09716796875,92,-0.06396484375,-0.14649658203125,0.0205078125,0.1334,-0.013671875,-0.08203125,0.0556640625,0.7129,-0.05029296875,-0.08899456521739131,43,
