Model,"Selection stability (seeds 0-4 x thresholds 32,48,64,80,96)",Mean val rescue,Mean val spec,Selected experts,Paper selected,Paper rescue,Paper spec
Qwen3-30B-A3B-Base,E069 selected in 25/25 settings,+0.491,+0.439,"{""E069"": 25}",25/25,+0.398,+0.344
Mixtral-8x7B-v0.1,E002 selected in 17/25 settings,+0.359,+0.199,"{""E002"": 17}",,,
