Category,n scanned,median Δ_clean,median drop,"paper filter (Δ≥1, drop≥0.5)","relaxed (Δ≥0.5, drop≥0.25)","relative (drop ≥ 25 % Δ_clean, Δ≥1)",relative 50 %,top-1 = true / starts with true (clean),top-1 = true / starts with true (noised),Δ_clean ≥ 1,drop ≥ 0.5,final token carries max norm (L5)
S1 closing bracket,800,+13.19,+2.91,690 (86 %),730 (91 %),368 (46 %),92 (12 %),52 % / 87 %,49 % / 78 %,100 %,86 %,0.0 %
S2 block keyword,800,+2.75,+0.25,316 (40 %),402 (50 %),215 (27 %),70 (9 %),79 % / 79 %,77 % / 77 %,76 %,44 %,0.0 %
S3 keyword completion,800,+4.62,+0.00,241 (30 %),325 (41 %),95 (12 %),30 (4 %),95 % / 95 %,92 % / 92 %,97 %,31 %,0.0 %
R1 variable recall,800,+7.12,+0.44,379 (47 %),467 (58 %),171 (21 %),82 (10 %),88 % / 88 %,76 % / 76 %,94 %,49 %,0.0 %
R2 attribute / API recall,671,+5.88,+0.50,321 (48 %),410 (61 %),88 (13 %),9 (1 %),90 % / 90 %,89 % / 89 %,89 %,50 %,0.0 %
R3 constant recall,800,+6.75,+0.25,318 (40 %),404 (50 %),120 (15 %),42 (5 %),86 % / 87 %,81 % / 82 %,93 %,41 %,0.0 %
ALL,4671,+6.38,+0.50,2265 (48 %),2738 (59 %),1057 (23 %),325 (7 %),82 % / 88 %,77 % / 82 %,92 %,50 %,0.0 %
